success,family,n_qubits,n_t_gates,n_total_gates,ofd_success,ofd_fail,ofd_rate,final_chi,final_nu,final_S2,runtime,seed,extra_metadata,graph_type,code_distance,ansatz,n_layers,density,avg_clifford_depth,max_clifford_depth,min_clifford_depth,std_clifford_depth,avg_light_cone_width,max_light_cone_width,spatial_uniformity,depth_variance,n_gates
true,Random Clifford+T (Brick-wall),8,12,96,8,4,0.6666666667,8,8,0.7809150492,376.2249329,3552130534,"Dict{String, Any}()",,,,,,7.0,7.0,7.0,0.0,3.3333333333333335,4.0,0.42264973081037427,28.285714285714285,96.0
true,Random Clifford+T (Brick-wall),12,6,72,6,0,1.0,1,6,0.0,0.01471090317,492776547,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.5,4.0,0.0,6.2727272727272725,72.0
true,Random Clifford+T (Brick-wall),12,6,72,5,1,0.8333333333,2,5,0.4164955307,61.73667097,1686907451,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.0,4.0,0.0,6.090909090909091,72.0
true,Random Clifford+T (Brick-wall),12,6,72,4,2,0.6666666667,2,4,0.2457753667,111.6684589,132058774,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.0,4.0,0.0,5.909090909090909,72.0
true,Random Clifford+T (Brick-wall),12,6,72,6,0,1.0,1,6,0.0,1.794629812,2470394327,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.3333333333333335,4.0,0.0,6.818181818181818,72.0
true,Random Clifford+T (Brick-wall),12,6,72,6,0,1.0,1,6,0.0,0.03618001938,4105688579,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.5,4.0,0.0,6.818181818181818,72.0
true,Random Clifford+T (Brick-wall),12,6,72,5,1,0.8333333333,2,5,0.2457753667,26.92652798,842803367,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.3333333333333335,4.0,0.0,6.2727272727272725,72.0
true,Random Clifford+T (Brick-wall),12,6,72,5,1,0.8333333333,1,5,0.0,0.2203149796,3115373640,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.1666666666666665,4.0,0.0,5.909090909090909,72.0
true,Random Clifford+T (Brick-wall),12,6,72,6,0,1.0,1,6,0.0,0.007915973663,2193288599,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.1666666666666665,4.0,0.0,4.818181818181818,72.0
true,Random Clifford+T (Brick-wall),12,12,144,10,2,0.8333333333,4,10,1.073542846,222.0429161,3510286990,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.5,4.0,0.0871290708247231,20.545454545454547,144.0
true,Random Clifford+T (Brick-wall),12,12,144,12,0,1.0,1,12,0.0,0.005672931671,275864898,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.3333333333333335,4.0,0.2928932188134524,20.181818181818183,144.0
true,Random Clifford+T (Brick-wall),12,12,144,10,2,0.8333333333,8,10,1.137892656,297.861738,4103902200,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.3333333333333335,4.0,0.0,25.09090909090909,144.0
true,Random Clifford+T (Brick-wall),12,12,144,10,2,0.8333333333,4,10,0.5893882247,205.8773761,3301926791,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.1666666666666665,4.0,0.0,18.545454545454547,144.0
true,Random Clifford+T (Brick-wall),12,12,144,11,1,0.9166666667,2,11,0.4164955307,173.7304609,381871817,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.5833333333333335,4.0,0.0,27.272727272727273,144.0
true,Random Clifford+T (Brick-wall),12,12,144,9,3,0.75,8,9,0.8875992221,119.516633,3246113737,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.1666666666666665,4.0,0.0,25.454545454545453,144.0
true,Random Clifford+T (Brick-wall),12,12,144,10,2,0.8333333333,2,10,0.03353226481,58.24011517,2906297229,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.5833333333333335,4.0,0.0,25.454545454545453,144.0
true,Random Clifford+T (Brick-wall),12,12,144,12,0,1.0,1,12,0.0,0.004601955414,1627118327,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.6666666666666665,4.0,0.0,25.09090909090909,144.0
true,Random Clifford+T (Brick-wall),12,18,216,12,6,0.6666666667,64,12,2.54272556,1274.019829,3175219307,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.5,4.0,0.42264973081037427,49.90909090909091,216.0
true,Random Clifford+T (Brick-wall),12,18,216,12,6,0.6666666667,64,12,2.868222687,1494.551795,4087240765,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.5555555555555554,4.0,0.30611133351128916,50.27272727272727,216.0
true,Random Clifford+T (Brick-wall),12,18,216,12,6,0.6666666667,64,12,3.055304889,1212.809677,606938585,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.388888888888889,4.0,0.3617152614957746,46.81818181818182,216.0
true,Random Clifford+T (Brick-wall),12,18,216,12,6,0.6666666667,64,12,2.651131143,1231.685249,370362248,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.5,4.0,0.16112950719213892,50.81818181818182,216.0
true,Random Clifford+T (Brick-wall),12,18,216,12,6,0.6666666667,32,12,1.961864321,572.9072011,1867197939,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.5,4.0,0.16112950719213892,44.27272727272727,216.0
true,Random Clifford+T (Brick-wall),12,18,216,12,6,0.6666666667,64,12,2.74102041,1147.4173,3663637401,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.611111111111111,4.0,0.30611133351128916,56.81818181818182,216.0
true,Random Clifford+T (Brick-wall),12,18,216,11,7,0.6111111111,64,11,2.947435257,1466.963655,1021619674,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.5555555555555554,4.0,0.07704179300910274,61.0,216.0
true,Random Clifford+T (Brick-wall),12,18,216,12,6,0.6666666667,64,12,2.527703882,1458.506002,459765789,"Dict{String, Any}()",,,,,,11.0,11.0,11.0,0.0,3.611111111111111,4.0,0.16112950719213892,50.81818181818182,216.0
true,Random Clifford+T (Brick-wall),16,8,128,8,0,1.0,1,8,0.0,0.04143500328,2413184321,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.625,4.0,0.0,9.2,128.0
true,Random Clifford+T (Brick-wall),16,8,128,8,0,1.0,1,8,0.0,2.147497177,2204529707,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.5,4.0,0.0,8.0,128.0
true,Random Clifford+T (Brick-wall),16,8,128,7,1,0.875,1,7,0.0,0.6355960369,3578480629,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.375,4.0,0.0,9.2,128.0
true,Random Clifford+T (Brick-wall),16,8,128,8,0,1.0,1,8,0.0,0.4999289513,2654301812,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.625,4.0,0.0,9.066666666666666,128.0
true,Random Clifford+T (Brick-wall),16,8,128,8,0,1.0,1,8,0.0,0.3092238903,3782116800,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.375,4.0,0.0,6.8,128.0
true,Random Clifford+T (Brick-wall),16,8,128,7,1,0.875,2,7,0.3968311956,159.415153,2552548287,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.25,4.0,0.0,6.8,128.0
true,Random Clifford+T (Brick-wall),16,8,128,8,0,1.0,1,8,0.0,0.01994514465,2075686609,"Dict{String, Any}()",,,,,,15.0,15.0,15.0,0.0,3.5,4.0,0.0,7.866666666666666,128.0
