n_qubits,seed,t_index,control_j,rotation_k,cumulative_t,cumulative_rank,rank_delta
8,1267918673,167,3,5,167,3,0
8,1267918673,168,3,5,168,3,0
8,1267918673,169,3,6,169,3,0
8,1267918673,170,3,6,170,3,0
8,1267918673,171,3,6,171,3,0
8,1267918673,172,3,6,172,3,0
8,1267918673,173,3,6,173,3,0
8,1267918673,174,3,6,174,3,0
8,1267918673,175,3,6,175,3,0
8,1267918673,176,3,6,176,3,0
8,1267918673,177,3,6,177,3,0
8,1267918673,178,3,6,178,3,0
8,1267918673,179,3,6,179,3,0
8,1267918673,180,3,6,180,3,0
8,1267918673,181,3,6,181,3,0
8,1267918673,182,3,6,182,3,0
8,1267918673,183,3,6,183,3,0
8,1267918673,184,3,6,184,3,0
8,1267918673,185,4,3,185,4,1
8,1267918673,186,4,3,186,4,0
8,1267918673,187,4,3,187,4,0
8,1267918673,188,4,3,188,4,0
8,1267918673,189,4,4,189,4,0
8,1267918673,190,4,4,190,4,0
8,1267918673,191,4,4,191,4,0
8,1267918673,192,4,4,192,4,0
8,1267918673,193,4,4,193,4,0
8,1267918673,194,4,4,194,4,0
8,1267918673,195,4,4,195,4,0
8,1267918673,196,4,4,196,4,0
8,1267918673,197,4,5,197,4,0
8,1267918673,198,4,5,198,4,0
8,1267918673,199,4,5,199,4,0
8,1267918673,200,4,5,200,4,0
8,1267918673,201,4,5,201,4,0
8,1267918673,202,4,5,202,4,0
8,1267918673,203,4,5,203,4,0
8,1267918673,204,4,5,204,4,0
8,1267918673,205,4,5,205,4,0
8,1267918673,206,4,5,206,4,0
8,1267918673,207,4,5,207,4,0
8,1267918673,208,4,5,208,4,0
8,1267918673,209,5,3,209,5,1
8,1267918673,210,5,3,210,5,0
8,1267918673,211,5,3,211,5,0
8,1267918673,212,5,3,212,5,0
8,1267918673,213,5,4,213,5,0
8,1267918673,214,5,4,214,5,0
8,1267918673,215,5,4,215,5,0
8,1267918673,216,5,4,216,5,0
8,1267918673,217,5,4,217,5,0
8,1267918673,218,5,4,218,5,0
8,1267918673,219,5,4,219,5,0
8,1267918673,220,5,4,220,5,0
8,1267918673,221,6,3,221,6,1
8,1267918673,222,6,3,222,6,0
8,1267918673,223,6,3,223,6,0
8,1267918673,224,6,3,224,6,0
16,1888127998,1,1,3,1,1,1
16,1888127998,2,1,3,2,1,0
16,1888127998,3,1,3,3,1,0
16,1888127998,4,1,3,4,1,0
16,1888127998,5,1,4,5,1,0
16,1888127998,6,1,4,6,1,0
16,1888127998,7,1,4,7,1,0
16,1888127998,8,1,4,8,1,0
16,1888127998,9,1,4,9,1,0
16,1888127998,10,1,4,10,1,0
16,1888127998,11,1,4,11,1,0
16,1888127998,12,1,4,12,1,0
16,1888127998,13,1,5,13,1,0
16,1888127998,14,1,5,14,1,0
16,1888127998,15,1,5,15,1,0
16,1888127998,16,1,5,16,1,0
16,1888127998,17,1,5,17,1,0
16,1888127998,18,1,5,18,1,0
16,1888127998,19,1,5,19,1,0
16,1888127998,20,1,5,20,1,0
16,1888127998,21,1,5,21,1,0
16,1888127998,22,1,5,22,1,0
16,1888127998,23,1,5,23,1,0
16,1888127998,24,1,5,24,1,0
16,1888127998,25,1,6,25,1,0
16,1888127998,26,1,6,26,1,0
16,1888127998,27,1,6,27,1,0
16,1888127998,28,1,6,28,1,0
16,1888127998,29,1,6,29,1,0
16,1888127998,30,1,6,30,1,0
16,1888127998,31,1,6,31,1,0
16,1888127998,32,1,6,32,1,0
16,1888127998,33,1,6,33,1,0
16,1888127998,34,1,6,34,1,0
16,1888127998,35,1,6,35,1,0
16,1888127998,36,1,6,36,1,0
16,1888127998,37,1,6,37,1,0
16,1888127998,38,1,6,38,1,0
16,1888127998,39,1,6,39,1,0
16,1888127998,40,1,6,40,1,0
16,1888127998,41,1,7,41,1,0
16,1888127998,42,1,7,42,1,0
16,1888127998,43,1,7,43,1,0
16,1888127998,44,1,7,44,1,0
16,1888127998,45,1,7,45,1,0
16,1888127998,46,1,7,46,1,0
16,1888127998,47,1,7,47,1,0
16,1888127998,48,1,7,48,1,0
16,1888127998,49,1,7,49,1,0
16,1888127998,50,1,7,50,1,0
16,1888127998,51,1,7,51,1,0
16,1888127998,52,1,7,52,1,0
16,1888127998,53,1,7,53,1,0
16,1888127998,54,1,7,54,1,0
16,1888127998,55,1,7,55,1,0
16,1888127998,56,1,7,56,1,0
16,1888127998,57,1,7,57,1,0
16,1888127998,58,1,7,58,1,0
16,1888127998,59,1,7,59,1,0
16,1888127998,60,1,7,60,1,0
16,1888127998,61,1,8,61,1,0
16,1888127998,62,1,8,62,1,0
16,1888127998,63,1,8,63,1,0
16,1888127998,64,1,8,64,1,0
16,1888127998,65,1,8,65,1,0
16,1888127998,66,1,8,66,1,0
16,1888127998,67,1,8,67,1,0
16,1888127998,68,1,8,68,1,0
16,1888127998,69,1,8,69,1,0
16,1888127998,70,1,8,70,1,0
16,1888127998,71,1,8,71,1,0
16,1888127998,72,1,8,72,1,0
16,1888127998,73,1,8,73,1,0
16,1888127998,74,1,8,74,1,0
16,1888127998,75,1,8,75,1,0
16,1888127998,76,1,8,76,1,0
16,1888127998,77,1,8,77,1,0
16,1888127998,78,1,8,78,1,0
16,1888127998,79,1,8,79,1,0
16,1888127998,80,1,8,80,1,0
16,1888127998,81,1,8,81,1,0
16,1888127998,82,1,8,82,1,0
16,1888127998,83,1,8,83,1,0
16,1888127998,84,1,8,84,1,0
16,1888127998,85,1,9,85,1,0
16,1888127998,86,1,9,86,1,0
16,1888127998,87,1,9,87,1,0
16,1888127998,88,1,9,88,1,0
16,1888127998,89,1,9,89,1,0
16,1888127998,90,1,9,90,1,0
16,1888127998,91,1,9,91,1,0
16,1888127998,92,1,9,92,1,0
16,1888127998,93,1,9,93,1,0
16,1888127998,94,1,9,94,1,0
16,1888127998,95,1,9,95,1,0
16,1888127998,96,1,9,96,1,0
16,1888127998,97,1,9,97,1,0
16,1888127998,98,1,9,98,1,0
16,1888127998,99,1,9,99,1,0
16,1888127998,100,1,9,100,1,0
16,1888127998,101,1,9,101,1,0
16,1888127998,102,1,9,102,1,0
16,1888127998,103,1,9,103,1,0
16,1888127998,104,1,9,104,1,0
16,1888127998,105,1,9,105,1,0
16,1888127998,106,1,9,106,1,0
16,1888127998,107,1,9,107,1,0
16,1888127998,108,1,9,108,1,0
16,1888127998,109,1,9,109,1,0
16,1888127998,110,1,9,110,1,0
16,1888127998,111,1,9,111,1,0
16,1888127998,112,1,9,112,1,0
16,1888127998,113,1,10,113,1,0
16,1888127998,114,1,10,114,1,0
16,1888127998,115,1,10,115,1,0
16,1888127998,116,1,10,116,1,0
16,1888127998,117,1,10,117,1,0
16,1888127998,118,1,10,118,1,0
16,1888127998,119,1,10,119,1,0
16,1888127998,120,1,10,120,1,0
16,1888127998,121,1,10,121,1,0
16,1888127998,122,1,10,122,1,0
16,1888127998,123,1,10,123,1,0
16,1888127998,124,1,10,124,1,0
16,1888127998,125,1,10,125,1,0
16,1888127998,126,1,10,126,1,0
16,1888127998,127,1,10,127,1,0
16,1888127998,128,1,10,128,1,0
16,1888127998,129,1,10,129,1,0
16,1888127998,130,1,10,130,1,0
16,1888127998,131,1,10,131,1,0
16,1888127998,132,1,10,132,1,0
16,1888127998,133,1,10,133,1,0
16,1888127998,134,1,10,134,1,0
16,1888127998,135,1,10,135,1,0
16,1888127998,136,1,10,136,1,0
16,1888127998,137,1,10,137,1,0
16,1888127998,138,1,10,138,1,0
16,1888127998,139,1,10,139,1,0
16,1888127998,140,1,10,140,1,0
16,1888127998,141,1,10,141,1,0
16,1888127998,142,1,10,142,1,0
16,1888127998,143,1,10,143,1,0
16,1888127998,144,1,10,144,1,0
16,1888127998,145,1,11,145,1,0
16,1888127998,146,1,11,146,1,0
16,1888127998,147,1,11,147,1,0
16,1888127998,148,1,11,148,1,0
16,1888127998,149,1,11,149,1,0
16,1888127998,150,1,11,150,1,0
16,1888127998,151,1,11,151,1,0
16,1888127998,152,1,11,152,1,0
16,1888127998,153,1,11,153,1,0
16,1888127998,154,1,11,154,1,0
16,1888127998,155,1,11,155,1,0
16,1888127998,156,1,11,156,1,0
16,1888127998,157,1,11,157,1,0
16,1888127998,158,1,11,158,1,0
16,1888127998,159,1,11,159,1,0
16,1888127998,160,1,11,160,1,0
16,1888127998,161,1,11,161,1,0
16,1888127998,162,1,11,162,1,0
16,1888127998,163,1,11,163,1,0
16,1888127998,164,1,11,164,1,0
16,1888127998,165,1,11,165,1,0
16,1888127998,166,1,11,166,1,0
16,1888127998,167,1,11,167,1,0
16,1888127998,168,1,11,168,1,0
16,1888127998,169,1,11,169,1,0
16,1888127998,170,1,11,170,1,0
16,1888127998,171,1,11,171,1,0
16,1888127998,172,1,11,172,1,0
16,1888127998,173,1,11,173,1,0
16,1888127998,174,1,11,174,1,0
16,1888127998,175,1,11,175,1,0
16,1888127998,176,1,11,176,1,0
16,1888127998,177,1,11,177,1,0
16,1888127998,178,1,11,178,1,0
16,1888127998,179,1,11,179,1,0
16,1888127998,180,1,11,180,1,0
16,1888127998,181,1,12,181,1,0
16,1888127998,182,1,12,182,1,0
16,1888127998,183,1,12,183,1,0
16,1888127998,184,1,12,184,1,0
16,1888127998,185,1,12,185,1,0
16,1888127998,186,1,12,186,1,0
16,1888127998,187,1,12,187,1,0
16,1888127998,188,1,12,188,1,0
16,1888127998,189,1,12,189,1,0
16,1888127998,190,1,12,190,1,0
16,1888127998,191,1,12,191,1,0
16,1888127998,192,1,12,192,1,0
16,1888127998,193,1,12,193,1,0
16,1888127998,194,1,12,194,1,0
16,1888127998,195,1,12,195,1,0
16,1888127998,196,1,12,196,1,0
16,1888127998,197,1,12,197,1,0
16,1888127998,198,1,12,198,1,0
16,1888127998,199,1,12,199,1,0
16,1888127998,200,1,12,200,1,0
16,1888127998,201,1,12,201,1,0
16,1888127998,202,1,12,202,1,0
16,1888127998,203,1,12,203,1,0
16,1888127998,204,1,12,204,1,0
16,1888127998,205,1,12,205,1,0
16,1888127998,206,1,12,206,1,0
16,1888127998,207,1,12,207,1,0
16,1888127998,208,1,12,208,1,0
16,1888127998,209,1,12,209,1,0
16,1888127998,210,1,12,210,1,0
16,1888127998,211,1,12,211,1,0
16,1888127998,212,1,12,212,1,0
16,1888127998,213,1,12,213,1,0
16,1888127998,214,1,12,214,1,0
16,1888127998,215,1,12,215,1,0
16,1888127998,216,1,12,216,1,0
16,1888127998,217,1,12,217,1,0
16,1888127998,218,1,12,218,1,0
16,1888127998,219,1,12,219,1,0
16,1888127998,220,1,12,220,1,0
16,1888127998,221,1,13,221,1,0
16,1888127998,222,1,13,222,1,0
16,1888127998,223,1,13,223,1,0
16,1888127998,224,1,13,224,1,0
16,1888127998,225,1,13,225,1,0
16,1888127998,226,1,13,226,1,0
16,1888127998,227,1,13,227,1,0
16,1888127998,228,1,13,228,1,0
16,1888127998,229,1,13,229,1,0
16,1888127998,230,1,13,230,1,0
16,1888127998,231,1,13,231,1,0
16,1888127998,232,1,13,232,1,0
16,1888127998,233,1,13,233,1,0
16,1888127998,234,1,13,234,1,0
16,1888127998,235,1,13,235,1,0
16,1888127998,236,1,13,236,1,0
16,1888127998,237,1,13,237,1,0
16,1888127998,238,1,13,238,1,0
16,1888127998,239,1,13,239,1,0
16,1888127998,240,1,13,240,1,0
16,1888127998,241,1,13,241,1,0
16,1888127998,242,1,13,242,1,0
16,1888127998,243,1,13,243,1,0
16,1888127998,244,1,13,244,1,0
16,1888127998,245,1,13,245,1,0
