n_low,n_high,alpha_eff
4,6,1.259851
6,8,1.169598
8,10,1.126246
10,12,1.100642
12,16,1.078117
16,20,1.059357
20,24,1.047903
24,32,1.037579
32,48,1.026378
48,64,1.018441
64,128,1.011405
128,256,1.005669
