n_qubits,n_total_gates,n_clifford,n_non_clifford,t_count,ofd_success,ofd_fail,ofd_rate,final_chi,final_S2,runtime
4,36,18,18,18,3,15,0.166667,2,0.000000,11.13
6,84,39,45,45,5,40,0.111111,2,0.000000,26.94
8,152,68,84,84,7,77,0.083333,2,0.000000,1.01
10,240,105,135,135,9,126,0.066667,2,0.000000,14.34
12,348,150,198,198,11,187,0.055556,64,2.982098,12588.58
14,476,203,273,273,13,260,0.047619,4,0.416813,5511.00
16,624,264,360,360,15,345,0.041667,2,0.000000,14.66
