family,n_qubits,seed,n_t_gates,n_ofd_success,n_ofd_fail,ofd_rate,n_pure_z,pure_z_rate,n_gf2_independent,gf2_independence_rate,first_fail_position,mean_pauli_weight
"Simon's Algorithm",32,2208394909,32,14,18,0.437500,0,0.000000,14,0.437500,0.129032,2.53
"Simon's Algorithm",32,1007802401,32,13,19,0.406250,0,0.000000,14,0.437500,0.096774,2.31
"Simon's Algorithm",64,1387871277,64,27,37,0.421875,0,0.000000,27,0.421875,0.126984,3.05
"Simon's Algorithm",64,170239381,64,28,36,0.437500,0,0.000000,29,0.453125,0.079365,2.50
"Simon's Algorithm",64,137946691,64,29,35,0.453125,0,0.000000,29,0.453125,0.222222,2.84
"Deutsch-Jozsa",4,2678134951,4,2,2,0.500000,1,0.250000,2,0.500000,0.333333,1.25
"Deutsch-Jozsa",8,3045676129,8,3,5,0.375000,5,0.625000,3,0.375000,0.428571,1.25
"Deutsch-Jozsa",32,2053493727,32,16,16,0.500000,11,0.343750,16,0.500000,0.193548,1.16
"Deutsch-Jozsa",32,2610850516,32,18,14,0.562500,5,0.156250,18,0.562500,0.129032,1.12
"GHZ State",4,626132249,4,1,3,0.250000,0,0.000000,1,0.250000,0.333333,2.50
"GHZ State",4,1237431165,4,1,3,0.250000,0,0.000000,1,0.250000,0.333333,2.25
"GHZ State",4,1311946787,4,1,3,0.250000,0,0.000000,1,0.250000,0.333333,2.25
"GHZ State",8,617195730,8,1,7,0.125000,0,0.000000,1,0.125000,0.142857,2.50
"GHZ State",8,946507394,8,1,7,0.125000,0,0.000000,1,0.125000,0.142857,1.62
"GHZ State",8,3722005451,8,1,7,0.125000,0,0.000000,1,0.125000,0.142857,2.50
"GHZ State",16,931961121,16,1,15,0.062500,0,0.000000,1,0.062500,0.066667,2.81
"GHZ State",16,3218837708,16,1,15,0.062500,0,0.000000,1,0.062500,0.066667,2.56
"GHZ State",16,2668966916,16,1,15,0.062500,0,0.000000,1,0.062500,0.066667,2.75
"GHZ State",32,2798402994,32,1,31,0.031250,0,0.000000,1,0.031250,0.032258,2.91
"GHZ State",32,4247566350,32,1,31,0.031250,0,0.000000,1,0.031250,0.032258,2.94
"GHZ State",32,3272042971,32,1,31,0.031250,0,0.000000,1,0.031250,0.032258,2.91
"GHZ State",64,3367546608,64,1,63,0.015625,0,0.000000,1,0.015625,0.015873,2.91
"GHZ State",64,1565894934,64,1,63,0.015625,0,0.000000,1,0.015625,0.015873,1.95
"GHZ State",64,322920247,64,1,63,0.015625,0,0.000000,1,0.015625,0.015873,2.89
"Bell State / EPR Pairs",4,2170569792,4,2,2,0.500000,0,0.000000,2,0.500000,0.666667,1.50
"Bell State / EPR Pairs",4,1896439900,4,2,2,0.500000,0,0.000000,2,0.500000,0.666667,1.50
"Bell State / EPR Pairs",4,2760968195,4,1,3,0.250000,0,0.000000,1,0.250000,0.333333,1.25
"Bell State / EPR Pairs",8,3297953291,8,4,4,0.500000,0,0.000000,4,0.500000,0.142857,1.25
"Bell State / EPR Pairs",8,1454753016,8,3,5,0.375000,0,0.000000,3,0.375000,0.142857,1.75
"Bell State / EPR Pairs",8,3369964907,8,4,4,0.500000,0,0.000000,4,0.500000,0.285714,1.62
"Bell State / EPR Pairs",16,2004277416,16,7,9,0.437500,0,0.000000,7,0.437500,0.133333,1.44
"Bell State / EPR Pairs",16,2358858771,16,8,8,0.500000,0,0.000000,8,0.500000,0.200000,1.50
"Bell State / EPR Pairs",16,1258217951,16,7,9,0.437500,0,0.000000,7,0.437500,0.200000,1.50
"Bell State / EPR Pairs",32,1362575029,32,14,18,0.437500,0,0.000000,14,0.437500,0.161290,1.41
"Bell State / EPR Pairs",32,1339997621,32,14,18,0.437500,0,0.000000,14,0.437500,0.161290,1.53
"Bell State / EPR Pairs",32,375665625,32,12,20,0.375000,0,0.000000,12,0.375000,0.225806,1.44
"Bell State / EPR Pairs",64,1925587082,64,27,37,0.421875,0,0.000000,27,0.421875,0.095238,1.59
"Bell State / EPR Pairs",64,1652558297,64,28,36,0.437500,0,0.000000,28,0.437500,0.126984,1.47
"Bell State / EPR Pairs",64,2757701033,64,29,35,0.453125,0,0.000000,29,0.453125,0.079365,1.47
"Graph State",4,3736342221,4,3,1,0.750000,0,0.000000,3,0.750000,1.000000,1.50
"Graph State",4,1871646520,4,2,2,0.500000,0,0.000000,2,0.500000,0.333333,1.50
"Graph State",4,4114115444,4,3,1,0.750000,0,0.000000,3,0.750000,1.000000,1.25
"Graph State",8,3858007409,8,4,4,0.500000,0,0.000000,4,0.500000,0.571429,1.62
"Graph State",8,4023246550,8,6,2,0.750000,0,0.000000,6,0.750000,0.571429,1.50
"Graph State",8,1726870555,8,6,2,0.750000,0,0.000000,6,0.750000,0.571429,2.62
"Graph State",16,1622047067,16,11,5,0.687500,0,0.000000,11,0.687500,0.466667,3.12
"Graph State",16,1236517862,16,10,6,0.625000,0,0.000000,10,0.625000,0.266667,2.94
"Graph State",16,4078365816,16,10,6,0.625000,0,0.000000,10,0.625000,0.266667,3.31
"Graph State",32,3347094472,32,22,10,0.687500,0,0.000000,22,0.687500,0.419355,5.22
"Graph State",32,2165212933,32,21,11,0.656250,0,0.000000,21,0.656250,0.322581,5.75
"Graph State",32,3644791683,32,19,13,0.593750,0,0.000000,19,0.593750,0.290323,4.94
"Graph State",64,1957603486,64,39,25,0.609375,0,0.000000,39,0.609375,0.047619,9.19
"Graph State",64,2713261452,64,39,25,0.609375,0,0.000000,39,0.609375,0.079365,8.16
"Graph State",64,3716625772,64,48,16,0.750000,0,0.000000,48,0.750000,0.158730,10.38
"Cluster State (1D)",4,1157895093,4,4,0,1.000000,0,0.000000,4,1.000000,1.000000,1.75
"Cluster State (1D)",4,2755378825,4,3,1,0.750000,0,0.000000,3,0.750000,1.000000,1.75
"Cluster State (1D)",4,2065746225,4,3,1,0.750000,0,0.000000,3,0.750000,1.000000,1.75
"Cluster State (1D)",8,3606382164,8,5,3,0.625000,0,0.000000,5,0.625000,0.428571,1.75
"Cluster State (1D)",8,656687645,8,6,2,0.750000,0,0.000000,6,0.750000,0.857143,1.88
"Cluster State (1D)",8,218038888,8,5,3,0.625000,0,0.000000,5,0.625000,0.285714,1.75
"Cluster State (1D)",16,144964851,16,11,5,0.687500,0,0.000000,11,0.687500,0.133333,1.88
"Cluster State (1D)",16,3820328120,16,9,7,0.562500,0,0.000000,9,0.562500,0.200000,1.69
"Cluster State (1D)",16,2439336993,16,11,5,0.687500,0,0.000000,11,0.687500,0.666667,1.88
"Cluster State (1D)",32,4222102781,32,21,11,0.656250,0,0.000000,21,0.656250,0.225806,1.88
"Cluster State (1D)",32,1519918522,32,21,11,0.656250,0,0.000000,21,0.656250,0.451613,1.81
"Cluster State (1D)",32,3719115675,32,22,10,0.687500,0,0.000000,22,0.687500,0.129032,1.88
"Cluster State (1D)",64,2231996216,64,44,20,0.687500,0,0.000000,44,0.687500,0.126984,1.95
"Cluster State (1D)",64,1356491968,64,39,25,0.609375,0,0.000000,39,0.609375,0.111111,1.83
"Cluster State (1D)",64,2787820088,64,41,23,0.640625,0,0.000000,41,0.640625,0.222222,1.84
"Quantum Fourier Transform",4,1359651423,18,3,15,0.166667,6,0.333333,3,0.166667,0.058824,1.33
"Quantum Fourier Transform",4,2658800618,18,3,15,0.166667,6,0.333333,3,0.166667,0.058824,1.33
"Quantum Fourier Transform",4,1673465139,18,3,15,0.166667,6,0.333333,3,0.166667,0.058824,1.33
"Quantum Fourier Transform",8,1652824203,75,7,68,0.093333,25,0.333333,7,0.093333,0.013514,1.33
"Quantum Fourier Transform",8,4281010841,75,7,68,0.093333,25,0.333333,7,0.093333,0.013514,1.33
"Quantum Fourier Transform",8,316232346,75,7,68,0.093333,25,0.333333,7,0.093333,0.013514,1.33
"Quantum Fourier Transform",16,1042764265,195,15,180,0.076923,65,0.333333,15,0.076923,0.005155,1.33
"Quantum Fourier Transform",16,251878382,195,15,180,0.076923,65,0.333333,15,0.076923,0.005155,1.33
"Quantum Fourier Transform",16,3932133108,195,15,180,0.076923,65,0.333333,15,0.076923,0.005155,1.33
"Quantum Fourier Transform",32,3422363846,435,31,404,0.071264,145,0.333333,31,0.071264,0.002304,1.33
