success,family,n_qubits,seed,n_t_gates,gf2_rank,nullity,nullity_ratio,n_amenable,n_not_amenable,amenability_rate,default_chi,default_ofd_rate,default_time,guided_chi,guided_ofd_rate,guided_time,n_ofd_skipped,chi_match,chi_ratio,time_savings,predicted_chi
true,"Random Clifford+T (All-to-all)",7,3136000005,7,6,1,0.142857,6,1,0.857143,1,1.000000,0.0011,1,0.857143,0.0010,1,true,1.000000,0.090175,2
true,"Random Clifford+T (All-to-all)",8,188994718,8,7,1,0.125000,7,1,0.875000,2,1.000000,0.0012,2,0.875000,0.0020,1,true,1.000000,-0.653977,2
true,"Random Clifford+T (All-to-all)",8,1577878953,8,7,1,0.125000,7,1,0.875000,2,1.000000,0.0014,2,0.875000,0.0012,1,true,1.000000,0.155999,2
true,"Random Clifford+T (All-to-all)",8,3626800563,8,7,1,0.125000,7,1,0.875000,2,1.000000,0.0012,2,0.875000,0.0012,1,true,1.000000,0.052958,2
true,"Random Clifford+T (All-to-all)",8,1028861899,8,7,1,0.125000,7,1,0.875000,2,1.000000,0.0013,2,0.875000,0.0012,1,true,1.000000,0.075311,2
true,"Bernstein-Vazirani",4,2117691448,4,3,1,0.250000,3,1,0.750000,2,1.000000,0.0009,2,0.750000,0.0004,1,true,1.000000,0.532698,2
true,"Bernstein-Vazirani",4,3112750009,4,3,1,0.250000,3,1,0.750000,2,1.000000,0.0004,2,0.750000,0.0004,1,true,1.000000,0.062974,2
true,"Bernstein-Vazirani",4,1522039927,4,2,2,0.500000,2,2,0.500000,2,1.000000,0.0007,2,0.500000,0.0008,2,true,1.000000,-0.227786,4
true,"Bernstein-Vazirani",4,280713081,4,3,1,0.250000,3,1,0.750000,1,1.000000,0.0004,1,0.750000,0.0004,1,true,1.000000,0.028858,2
true,"Bernstein-Vazirani",5,2284993502,5,2,3,0.600000,3,2,0.600000,2,1.000000,0.0009,2,0.600000,0.0008,2,true,1.000000,0.034568,8
true,"Bernstein-Vazirani",5,1992789748,5,2,3,0.600000,2,3,0.400000,2,1.000000,0.0070,2,0.400000,0.0013,3,true,1.000000,0.808445,8
true,"Bernstein-Vazirani",5,1797266099,5,4,1,0.200000,3,2,0.600000,1,1.000000,0.0009,1,0.600000,0.0009,2,true,1.000000,-0.046475,2
true,"Bernstein-Vazirani",5,2269184081,5,3,2,0.400000,3,2,0.600000,2,1.000000,0.0011,2,0.600000,0.0009,2,true,1.000000,0.193252,4
true,"Bernstein-Vazirani",6,2381570847,6,4,2,0.333333,4,2,0.666667,1,1.000000,0.0011,1,0.666667,0.0011,2,true,1.000000,-0.001953,4
true,"Bernstein-Vazirani",6,3945139971,6,4,2,0.333333,4,2,0.666667,1,1.000000,0.0011,1,0.666667,0.0012,2,true,1.000000,-0.118323,4
true,"Bernstein-Vazirani",6,3632492762,6,4,2,0.333333,4,2,0.666667,2,1.000000,0.0013,2,0.666667,0.0011,2,true,1.000000,0.187767,4
true,"Bernstein-Vazirani",6,2815961802,6,4,2,0.333333,4,2,0.666667,1,1.000000,0.0011,1,0.666667,0.0011,2,true,1.000000,0.033027,4
true,"Bernstein-Vazirani",7,3649999576,7,5,2,0.285714,4,3,0.571429,2,1.000000,0.0065,2,0.571429,0.0019,3,true,1.000000,0.711367,4
