success,family,n_qubits,seed,n_t_gates,n_total_gates,gf2_rank,nullity,nullity_ratio,rank_ratio,rank_to_t_ratio,t_density,xbit_density,n_disentanglable,n_not_disentanglable
True,VQE Hardware-Efficient Ansatz,24,1770928916,2462,2928,24,2438,0.990252,1.0,0.009748,102.5833,0.136102,24,2438
True,VQE Hardware-Efficient Ansatz,32,3776578384,3294,3920,32,3262,0.990285,1.0,0.009715,102.9375,0.137466,32,3262
True,VQE Hardware-Efficient Ansatz,32,3319079771,3292,3920,32,3260,0.990279,1.0,0.009721,102.875,0.154342,32,3260
True,VQE Hardware-Efficient Ansatz,32,3210011685,3267,3886,32,3235,0.990205,1.0,0.009795,102.0938,0.1239,32,3235
True,VQE Hardware-Efficient Ansatz,32,3960381368,3287,3908,32,3255,0.990265,1.0,0.009735,102.7188,0.111519,32,3255
True,VQE Hardware-Efficient Ansatz,48,2479414665,4937,5874,48,4889,0.990277,1.0,0.009723,102.8542,0.129431,48,4889
True,VQE Hardware-Efficient Ansatz,48,1560456976,4930,5864,48,4882,0.990264,1.0,0.009736,102.7083,0.111346,48,4882
True,VQE Hardware-Efficient Ansatz,48,3085438036,4946,5886,48,4898,0.990295,1.0,0.009705,103.0417,0.131761,48,4898
True,VQE Hardware-Efficient Ansatz,48,2881588493,4918,5854,48,4870,0.99024,1.0,0.00976,102.4583,0.127554,48,4870
True,VQE Hardware-Efficient Ansatz,64,1048444960,6534,7774,64,6470,0.990205,1.0,0.009795,102.0938,0.102706,64,6470
True,VQE Hardware-Efficient Ansatz,64,1345262302,6538,7780,64,6474,0.990211,1.0,0.009789,102.1562,0.116607,64,6474
True,VQE Hardware-Efficient Ansatz,64,1691875566,6609,7866,64,6545,0.990316,1.0,0.009684,103.2656,0.134398,64,6545
True,VQE Hardware-Efficient Ansatz,64,4278765806,6567,7816,64,6503,0.990254,1.0,0.009746,102.6094,0.13155,64,6503
True,"QAOA MaxCut (p=1, 3-regular)",4,1344538679,10,34,4,6,0.6,1.0,0.4,2.5,0.35,3,7
True,"QAOA MaxCut (p=1, 3-regular)",4,2456555851,10,34,4,6,0.6,1.0,0.4,2.5,0.35,3,7
True,"QAOA MaxCut (p=1, 3-regular)",4,3256684125,10,34,4,6,0.6,1.0,0.4,2.5,0.35,3,7
True,"QAOA MaxCut (p=1, 3-regular)",4,2845242293,10,34,4,6,0.6,1.0,0.4,2.5,0.35,3,7
True,"QAOA MaxCut (p=1, 3-regular)",6,1748823728,15,51,6,9,0.6,1.0,0.4,2.5,0.288889,5,10
True,"QAOA MaxCut (p=1, 3-regular)",6,3103418978,15,51,6,9,0.6,1.0,0.4,2.5,0.277778,5,10
True,"QAOA MaxCut (p=1, 3-regular)",6,3690847224,15,51,5,10,0.666667,0.833333,0.333333,2.5,0.255556,5,10
True,"QAOA MaxCut (p=1, 3-regular)",6,1178667614,15,51,6,9,0.6,1.0,0.4,2.5,0.3,5,10
True,"QAOA MaxCut (p=1, 3-regular)",8,261500677,20,68,8,12,0.6,1.0,0.4,2.5,0.25625,7,13
